ready_for_datastore,review_reason,path,relative_path,file_name,expected_file_name,destination_path,original_expected_file_name,expected_name,expected_date_token,destination_folder,destination_date_folder,expected_sector,sector_source,rename_status,spatial_status,spatial_sector_raw,spatial_sector,spatial_overlap_pct,spatial_overlap_count,spatial_all_matches,duplicate_expected_file_name,duplicate_sequence,duplicate_was_resolved,size_mb,modified_at
True,cruza_multiples_sectores,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif,SOLO_TIF_02Jun26\GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif,GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif,CL_MLP_PAO_IF_Ortho_25_12_28_MonteAranda-NSTC-Km-84p2-a-82p3.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\25_12\CL_MLP_PAO_IF_Ortho_25_12_28_MonteAranda-NSTC-Km-84p2-a-82p3.tif,CL_MLP_PAO_IF_Ortho_25_12_28_MonteAranda-NSTC-Km-84p2-a-82p3.tif,CL_MLP_PAO_IF_Ortho_25_12_28_MonteAranda-NSTC-Km-84p2-a-82p3,25_12_28,Chacay_El_Mauro_Drone,25_12,MonteAranda-NSTC-Km-84p2-a-82p3,spatial_sector,ok,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,100.00002326931079,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:96.40|EB2_1:70.51|MonteAranda-NSTC-Km-84p2-a-82p3:7.29|MonteAranda-NSTC-Km-84p2-a-82p3:7.21|MonteAranda-NSTC-Km-84p2-a-82p3:6.72|MonteAranda-NSTC-Km-84p2-a-82p3:6.26|MonteAranda-NSTC-Km-84p2-a-82p3:6.23|MonteAranda-NSTC-Km-84p2-a-82p3:6.10|MonteAranda-NSTC-Km-84p2-a-82p3:5.53|MonteAranda-NSTC-Km-84p2-a-82p3:5.48|MonteAranda-NSTC-Km-84p2-a-82p3:5.32|MonteAranda-NSTC-Km-84p2-a-82p3:4.47,False,,False,110.944,2026-06-11 10:37:57
False,sin_fecha|cruza_multiples_sectores,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif,SOLO_TIF_02Jun26\GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif,GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif,,,,,,,,,spatial_sector,sin_fecha,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,99.99995726658567,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:99.99|EB2:76.25|EB2_1:49.84|MonteAranda-NSTC-Km-84p2-a-82p3:6.82|MonteAranda-NSTC-Km-84p2-a-82p3:6.76|MonteAranda-NSTC-Km-84p2-a-82p3:6.37|MonteAranda-NSTC-Km-84p2-a-82p3:6.01|MonteAranda-NSTC-Km-84p2-a-82p3:5.96|MonteAranda-NSTC-Km-84p2-a-82p3:5.87|MonteAranda-NSTC-Km-84p2-a-82p3:5.18|MonteAranda-NSTC-Km-84p2-a-82p3:5.13|MonteAranda-NSTC-Km-84p2-a-82p3:4.99|MonteAranda-NSTC-Km-84p2-a-82p3:4.46,False,,False,155.039,2026-06-11 10:38:02
True,cruza_multiples_sectores,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif,SOLO_TIF_02Jun26\GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif,GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif,CL_MLP_PAO_IF_Ortho_25_12_20_MonteAranda-NSTC-Km-84p2-a-82p3.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\25_12\CL_MLP_PAO_IF_Ortho_25_12_20_MonteAranda-NSTC-Km-84p2-a-82p3.tif,CL_MLP_PAO_IF_Ortho_25_12_20_MonteAranda-NSTC-Km-84p2-a-82p3.tif,CL_MLP_PAO_IF_Ortho_25_12_20_MonteAranda-NSTC-Km-84p2-a-82p3,25_12_20,Chacay_El_Mauro_Drone,25_12,MonteAranda-NSTC-Km-84p2-a-82p3,spatial_sector,ok,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,100.0000097942937,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:86.17|EB2_1:56.20|MonteAranda-NSTC-Km-84p2-a-82p3:7.29|MonteAranda-NSTC-Km-84p2-a-82p3:7.22|MonteAranda-NSTC-Km-84p2-a-82p3:6.79|MonteAranda-NSTC-Km-84p2-a-82p3:6.39|MonteAranda-NSTC-Km-84p2-a-82p3:6.34|MonteAranda-NSTC-Km-84p2-a-82p3:6.24|MonteAranda-NSTC-Km-84p2-a-82p3:5.54|MonteAranda-NSTC-Km-84p2-a-82p3:5.49|MonteAranda-NSTC-Km-84p2-a-82p3:5.33|MonteAranda-NSTC-Km-84p2-a-82p3:4.72,False,,False,147.589,2026-06-11 10:38:05
True,cruza_multiples_sectores,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,SOLO_TIF_02Jun26\GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,CL_MLP_PAO_IF_Ortho_26_01_03_MonteAranda-NSTC-Km-84p2-a-82p3.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_01\CL_MLP_PAO_IF_Ortho_26_01_03_MonteAranda-NSTC-Km-84p2-a-82p3.tif,CL_MLP_PAO_IF_Ortho_26_01_03_MonteAranda-NSTC-Km-84p2-a-82p3.tif,CL_MLP_PAO_IF_Ortho_26_01_03_MonteAranda-NSTC-Km-84p2-a-82p3,26_01_03,Chacay_El_Mauro_Drone,26_01,MonteAranda-NSTC-Km-84p2-a-82p3,spatial_sector,ok,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,99.99997036180852,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:99.13|EB2_1:61.80|MonteAranda-NSTC-Km-84p2-a-82p3:19.69|MonteAranda-NSTC-Km-84p2-a-82p3:19.67|MonteAranda-NSTC-Km-84p2-a-82p3:19.26|MonteAranda-NSTC-Km-84p2-a-82p3:18.25|MonteAranda-NSTC-Km-84p2-a-82p3:18.14|MonteAranda-NSTC-Km-84p2-a-82p3:18.07|MonteAranda-NSTC-Km-84p2-a-82p3:15.01|MonteAranda-NSTC-Km-84p2-a-82p3:14.97|MonteAranda-NSTC-Km-84p2-a-82p3:14.79|MonteAranda-NSTC-Km-84p2-a-82p3:14.69,False,,False,180.745,2026-06-11 10:38:07
True,cruza_multiples_sectores,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif,SOLO_TIF_02Jun26\GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif,GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif,CL_MLP_PAO_IF_Ortho_26_01_17_MonteAranda-NSTC-Km-84p2-a-82p3.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_01\CL_MLP_PAO_IF_Ortho_26_01_17_MonteAranda-NSTC-Km-84p2-a-82p3.tif,CL_MLP_PAO_IF_Ortho_26_01_17_MonteAranda-NSTC-Km-84p2-a-82p3.tif,CL_MLP_PAO_IF_Ortho_26_01_17_MonteAranda-NSTC-Km-84p2-a-82p3,26_01_17,Chacay_El_Mauro_Drone,26_01,MonteAranda-NSTC-Km-84p2-a-82p3,spatial_sector,ok,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,100.00002293849175,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:83.72|EB2_1:52.19|MonteAranda-NSTC-Km-84p2-a-82p3:16.63|MonteAranda-NSTC-Km-84p2-a-82p3:16.62|MonteAranda-NSTC-Km-84p2-a-82p3:16.27|MonteAranda-NSTC-Km-84p2-a-82p3:15.41|MonteAranda-NSTC-Km-84p2-a-82p3:15.32|MonteAranda-NSTC-Km-84p2-a-82p3:15.26|MonteAranda-NSTC-Km-84p2-a-82p3:12.68|MonteAranda-NSTC-Km-84p2-a-82p3:12.64|MonteAranda-NSTC-Km-84p2-a-82p3:12.49|MonteAranda-NSTC-Km-84p2-a-82p3:12.41,False,,False,164.324,2026-06-11 10:38:09
False,sin_fecha|cruza_multiples_sectores,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif,SOLO_TIF_02Jun26\GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif,GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif,,,,,,,,,spatial_sector,sin_fecha,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,100.0000013784063,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2_1:78.80|MonteAranda-NSTC-Km-84p2-a-82p3:9.20|MonteAranda-NSTC-Km-84p2-a-82p3:9.10|MonteAranda-NSTC-Km-84p2-a-82p3:8.51|MonteAranda-NSTC-Km-84p2-a-82p3:7.97|MonteAranda-NSTC-Km-84p2-a-82p3:7.92|MonteAranda-NSTC-Km-84p2-a-82p3:7.77|MonteAranda-NSTC-Km-84p2-a-82p3:6.98|MonteAranda-NSTC-Km-84p2-a-82p3:6.92|MonteAranda-NSTC-Km-84p2-a-82p3:6.72|MonteAranda-NSTC-Km-84p2-a-82p3:5.79,False,,False,96.611,2026-06-11 10:38:11
True,cruza_multiples_sectores,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,SOLO_TIF_02Jun26\GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,CL_MLP_PAO_IF_Ortho_26_02_04_MonteAranda-NSTC-Km-84p2-a-82p3.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_02\CL_MLP_PAO_IF_Ortho_26_02_04_MonteAranda-NSTC-Km-84p2-a-82p3.tif,CL_MLP_PAO_IF_Ortho_26_02_04_MonteAranda-NSTC-Km-84p2-a-82p3.tif,CL_MLP_PAO_IF_Ortho_26_02_04_MonteAranda-NSTC-Km-84p2-a-82p3,26_02_04,Chacay_El_Mauro_Drone,26_02,MonteAranda-NSTC-Km-84p2-a-82p3,spatial_sector,ok,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,99.99994609327061,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:85.82|EB2_1:57.08|MonteAranda-NSTC-Km-84p2-a-82p3:6.84|MonteAranda-NSTC-Km-84p2-a-82p3:6.77|MonteAranda-NSTC-Km-84p2-a-82p3:6.34|MonteAranda-NSTC-Km-84p2-a-82p3:5.95|MonteAranda-NSTC-Km-84p2-a-82p3:5.91|MonteAranda-NSTC-Km-84p2-a-82p3:5.80|MonteAranda-NSTC-Km-84p2-a-82p3:5.19|MonteAranda-NSTC-Km-84p2-a-82p3:5.14|MonteAranda-NSTC-Km-84p2-a-82p3:5.00|MonteAranda-NSTC-Km-84p2-a-82p3:4.35,False,,False,128.088,2026-06-11 10:38:15
False,sin_fecha|cruza_multiples_sectores,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif,SOLO_TIF_02Jun26\GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif,GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif,,,,,,,,,spatial_sector,sin_fecha,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,99.99998805024367,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:88.91|EB2_1:61.36|MonteAranda-NSTC-Km-84p2-a-82p3:7.51|MonteAranda-NSTC-Km-84p2-a-82p3:7.43|MonteAranda-NSTC-Km-84p2-a-82p3:6.97|MonteAranda-NSTC-Km-84p2-a-82p3:6.55|MonteAranda-NSTC-Km-84p2-a-82p3:6.50|MonteAranda-NSTC-Km-84p2-a-82p3:6.39|MonteAranda-NSTC-Km-84p2-a-82p3:5.70|MonteAranda-NSTC-Km-84p2-a-82p3:5.65|MonteAranda-NSTC-Km-84p2-a-82p3:5.49|MonteAranda-NSTC-Km-84p2-a-82p3:4.80,False,,False,147.604,2026-06-11 10:38:18
True,cruza_multiples_sectores,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif,SOLO_TIF_02Jun26\GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif,GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif,CL_MLP_PAO_IF_Ortho_26_02_26_MonteAranda-NSTC-Km-84p2-a-82p3.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_02\CL_MLP_PAO_IF_Ortho_26_02_26_MonteAranda-NSTC-Km-84p2-a-82p3.tif,CL_MLP_PAO_IF_Ortho_26_02_26_MonteAranda-NSTC-Km-84p2-a-82p3.tif,CL_MLP_PAO_IF_Ortho_26_02_26_MonteAranda-NSTC-Km-84p2-a-82p3,26_02_26,Chacay_El_Mauro_Drone,26_02,MonteAranda-NSTC-Km-84p2-a-82p3,spatial_sector,ok,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,100.00001511797223,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:99.12|EB2_1:61.79|MonteAranda-NSTC-Km-84p2-a-82p3:19.69|MonteAranda-NSTC-Km-84p2-a-82p3:19.67|MonteAranda-NSTC-Km-84p2-a-82p3:19.26|MonteAranda-NSTC-Km-84p2-a-82p3:18.24|MonteAranda-NSTC-Km-84p2-a-82p3:18.14|MonteAranda-NSTC-Km-84p2-a-82p3:18.06|MonteAranda-NSTC-Km-84p2-a-82p3:15.01|MonteAranda-NSTC-Km-84p2-a-82p3:14.97|MonteAranda-NSTC-Km-84p2-a-82p3:14.79|MonteAranda-NSTC-Km-84p2-a-82p3:14.69,False,,False,39.182,2026-06-11 10:38:21
True,cruza_multiples_sectores,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,SOLO_TIF_02Jun26\GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,CL_MLP_PAO_IF_Ortho_26_03_07_MonteAranda-NSTC-Km-84p2-a-82p3.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_03\CL_MLP_PAO_IF_Ortho_26_03_07_MonteAranda-NSTC-Km-84p2-a-82p3.tif,CL_MLP_PAO_IF_Ortho_26_03_07_MonteAranda-NSTC-Km-84p2-a-82p3.tif,CL_MLP_PAO_IF_Ortho_26_03_07_MonteAranda-NSTC-Km-84p2-a-82p3,26_03_07,Chacay_El_Mauro_Drone,26_03,MonteAranda-NSTC-Km-84p2-a-82p3,spatial_sector,ok,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,99.99998430005427,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:85.80|EB2_1:56.06|MonteAranda-NSTC-Km-84p2-a-82p3:7.59|MonteAranda-NSTC-Km-84p2-a-82p3:7.52|MonteAranda-NSTC-Km-84p2-a-82p3:7.08|MonteAranda-NSTC-Km-84p2-a-82p3:6.69|MonteAranda-NSTC-Km-84p2-a-82p3:6.63|MonteAranda-NSTC-Km-84p2-a-82p3:6.53|MonteAranda-NSTC-Km-84p2-a-82p3:5.77|MonteAranda-NSTC-Km-84p2-a-82p3:5.71|MonteAranda-NSTC-Km-84p2-a-82p3:5.55|MonteAranda-NSTC-Km-84p2-a-82p3:4.96,False,,False,225.507,2026-06-11 10:38:24
